ts,value,time_ms,time_s
1575298432.2983384,64.0,14:53:52.298338,14:53:52
1575298432.3484664,64.0,14:53:52.348466,14:53:52
1575298432.3985975,80.0,14:53:52.398597,14:53:52
1575298432.4487267,80.0,14:53:52.448727,14:53:52
1575298432.4988554,80.0,14:53:52.498855,14:53:52
1575298432.548988,80.0,14:53:52.548988,14:53:52
1575298432.59911,64.0,14:53:52.599110,14:53:52
1575298432.64923,64.0,14:53:52.649230,14:53:52
1575298432.6993518,48.0,14:53:52.699352,14:53:52
1575298432.7494721,48.0,14:53:52.749472,14:53:52
1575298432.799594,48.0,14:53:52.799594,14:53:52
1575298432.8497193,48.0,14:53:52.849719,14:53:52
1575298432.8998485,48.0,14:53:52.899848,14:53:52
1575298432.9499722,48.0,14:53:52.949972,14:53:52
1575298433.0000994,48.0,14:53:53.000099,14:53:53
1575298433.0502205,48.0,14:53:53.050220,14:53:53
1575298433.100342,32.0,14:53:53.100342,14:53:53
1575298433.150485,32.0,14:53:53.150485,14:53:53
1575298433.2006052,32.0,14:53:53.200605,14:53:53
1575298433.2507234,32.0,14:53:53.250723,14:53:53
1575298433.6017153,32.0,14:53:53.601715,14:53:53
1575298433.6518369,32.0,14:53:53.651837,14:53:53
1575298433.7019868,32.0,14:53:53.701987,14:53:53
1575298433.7521124,32.0,14:53:53.752112,14:53:53
1575298433.8022313,32.0,14:53:53.802231,14:53:53
1575298433.8523538,32.0,14:53:53.852354,14:53:53
1575298433.9024744,32.0,14:53:53.902474,14:53:53
1575298433.9525962,32.0,14:53:53.952596,14:53:53
1575298434.0027173,32.0,14:53:54.002717,14:53:54
1575298434.0528393,32.0,14:53:54.052839,14:53:54
1575298435.5067427,32.0,14:53:55.506743,14:53:55
1575298578.9604418,32.0,14:56:18.960442,14:56:18
1575298579.0105696,32.0,14:56:19.010570,14:56:19
1575298579.060692,32.0,14:56:19.060692,14:56:19
1575298579.9630234,32.0,14:56:19.963023,14:56:19
1575298580.0131447,32.0,14:56:20.013145,14:56:20
1575298580.0632699,32.0,14:56:20.063270,14:56:20
1575298580.8653162,32.0,14:56:20.865316,14:56:20
1575298580.9154394,32.0,14:56:20.915439,14:56:20
1575298643.033898,32.0,14:57:23.033898,14:57:23
1575298643.0840256,32.0,14:57:23.084026,14:57:23
1575298727.5278287,32.0,14:58:47.527829,14:58:47
1575298727.6773815,32.0,14:58:47.677382,14:58:47
1575298728.7715313,32.0,14:58:48.771531,14:58:48
1575298728.8216536,24.0,14:58:48.821654,14:58:48
1575298752.5334582,48.0,14:59:12.533458,14:59:12
1575298752.5858614,48.0,14:59:12.585861,14:59:12
1575298752.649545,48.0,14:59:12.649545,14:59:12
1575298752.7013721,48.0,14:59:12.701372,14:59:12
1575298752.7561324,32.0,14:59:12.756132,14:59:12
1575298753.1574614,32.0,14:59:13.157461,14:59:13
1575298753.20752,32.0,14:59:13.207520,14:59:13
1575298753.257757,32.0,14:59:13.257757,14:59:13
1575298753.307883,32.0,14:59:13.307883,14:59:13
1575298753.358009,32.0,14:59:13.358009,14:59:13
1575298754.1788056,32.0,14:59:14.178806,14:59:14
1575298754.2289267,32.0,14:59:14.228927,14:59:14
1575298755.181691,32.0,14:59:15.181691,14:59:15
1575298755.231819,32.0,14:59:15.231819,14:59:15
1575298755.281986,32.0,14:59:15.281986,14:59:15
1575298760.596094,32.0,14:59:20.596094,14:59:20
1575298760.6462195,32.0,14:59:20.646219,14:59:20
1575298760.6963418,32.0,14:59:20.696342,14:59:20
1575298774.3601313,32.0,14:59:34.360131,14:59:34
1575298774.4103422,32.0,14:59:34.410342,14:59:34
1575298774.4604688,32.0,14:59:34.460469,14:59:34
1575298774.711118,32.0,14:59:34.711118,14:59:34
1575298774.7612426,32.0,14:59:34.761243,14:59:34
1575298774.8113675,32.0,14:59:34.811368,14:59:34
1575298774.8614998,32.0,14:59:34.861500,14:59:34
1575298779.2738662,32.0,14:59:39.273866,14:59:39
1575298779.3239892,32.0,14:59:39.323989,14:59:39
1575298779.374111,32.0,14:59:39.374111,14:59:39
1575298779.4244778,32.0,14:59:39.424478,14:59:39
1575298780.377123,48.0,14:59:40.377123,14:59:40
1575298780.427267,48.0,14:59:40.427267,14:59:40
1575298780.477399,48.0,14:59:40.477399,14:59:40
1575298780.5275426,48.0,14:59:40.527543,14:59:40
1575298781.1290445,32.0,14:59:41.129045,14:59:41
1575298781.1791651,48.0,14:59:41.179165,14:59:41
1575298781.2292926,48.0,14:59:41.229293,14:59:41
1575298781.279425,48.0,14:59:41.279425,14:59:41
1575298781.3295465,48.0,14:59:41.329546,14:59:41
1575298781.3796651,48.0,14:59:41.379665,14:59:41
1575298781.4297874,48.0,14:59:41.429787,14:59:41
1575298781.479919,48.0,14:59:41.479919,14:59:41
1575298781.5300524,48.0,14:59:41.530052,14:59:41
1575298781.5801756,48.0,14:59:41.580176,14:59:41
